"","Var1","Var2","theta[feasible_index]","KLD.results$KLD$Men_KLD","KLD.results$KLD$Women_KLD","KLD.results$KLD$Pop_KLD","KLD.results$pop_variance"
"290",0.15,0.62,0.625,0.0340894696221789,0.0204467802468813,0.0545362498690602,0.991007395848649
"291",0.16,0.62,0.666666666666667,0.0591091655097297,0.0292235998638784,0.0883327653736082,0.999308421934358
"292",0.17,0.62,0.708333333333333,0.0582801852916138,0.0615837666211423,0.119863951912756,0.972628115390321
"293",0.18,0.62,0.75,0.116188524674535,0.115800967827341,0.231989492501876,0.973798135651869
"294",0.19,0.62,0.791666666666667,0.213895082953526,0.215908301139097,0.429803384092623,0.962810905167318
"295",0.2,0.62,0.833333333333333,0.385377892244343,0.396873772070189,0.782251664314533,0.983909481023334
"296",0.21,0.62,0.875,0.667233660328986,0.660627273732749,1.32786093406173,0.955125542842508
"297",0.22,0.62,0.916666666666667,1.07076241033038,1.07199102619489,2.14275343652527,0.995465927241195
"298",0.23,0.62,0.958333333333333,1.77353640943407,1.77396116184987,3.54749757128394,1.00919754772609
"301",0.01,0.63,0.0384615384615385,0.0033394241359664,-0.000123332773122103,0.0032160913628443,1.01620825687687
"302",0.02,0.63,0.0769230769230769,0.000701048940888681,0.00920473559854804,0.00990578453943672,1.02087190583214
"303",0.03,0.63,0.115384615384615,-0.00016647079506293,0.00707649337097189,0.00691002257590896,1.02948139425112
"304",0.04,0.63,0.153846153846154,0.00123280954701481,-6.07031685167222e-06,0.00122673923016313,0.987363507221906
"305",0.05,0.63,0.192307692307692,0.0162390617197775,-0.000111691433078863,0.0161273702866986,1.04900021080344
"306",0.06,0.63,0.230769230769231,0.0010904624717363,0.00205408122540608,0.00314454369714238,0.954275957393987
"307",0.07,0.63,0.269230769230769,0.00115449167038395,0.00109627719407018,0.00225076886445413,0.990050869678371
"308",0.08,0.63,0.307692307692308,0.0168881344353234,0.00223576392035421,0.0191238983556776,0.998359031997106
"309",0.09,0.63,0.346153846153846,0.000344291495483215,0.00946015747487343,0.00980444897035665,0.975711021689694
"310",0.1,0.63,0.384615384615385,0.000439259828069229,0.0049341681557603,0.00537342798382953,0.96496430856295
"311",0.11,0.63,0.423076923076923,0.01928427317428,0.0170909971585524,0.0363752703328325,1.05909903528602
"312",0.12,0.63,0.461538461538462,0.0157026919244728,0.00564911465216486,0.0213518065766376,1.00402205100399
"313",0.13,0.63,0.5,0.0143782838324788,0.037152174581212,0.0515304584136908,1.05477688296937
"314",0.14,0.63,0.538461538461539,0.0192982237729898,0.0136669612405383,0.032965185013528,1.01180118173074
"315",0.15,0.63,0.576923076923077,0.012933586918903,0.0438666537825029,0.0568002407014059,1.02491957104953
"316",0.16,0.63,0.615384615384615,0.0154917612845467,0.0131300084177627,0.0286217697023095,0.925643413161076
"317",0.17,0.63,0.653846153846154,0.0438965318709307,0.0676638021190454,0.111560333989976,1.05141548155608
"318",0.18,0.63,0.692307692307692,0.0578729076595859,0.0449304289259493,0.102803336585535,0.987032471466368
"319",0.19,0.63,0.730769230769231,0.126530807251569,0.108258074024808,0.234788881276377,1.06210122872584
"320",0.2,0.63,0.769230769230769,0.160342329859248,0.161123341549491,0.321465671408739,1.00264320840738
"321",0.21,0.63,0.807692307692308,0.277553898459328,0.279435317089416,0.556989215548743,1.00072268168019
"322",0.22,0.63,0.846153846153846,0.461212967300846,0.471284519833549,0.932497487134394,0.979389137698463
"323",0.23,0.63,0.884615384615385,0.764371655233246,0.74908004022738,1.51345169546063,1.0452881361227
"324",0.24,0.63,0.923076923076923,1.15075114160289,1.15210076505977,2.30285190666266,0.980476691044112
"325",0.25,0.63,0.961538461538461,1.85649993444947,1.85494309708374,3.71144303153321,0.975087509178431
"326",0.01,0.64,0.0357142857142857,-0.00136887972556957,0.00900146265662416,0.00763258293105459,0.927435161563375
"327",0.02,0.64,0.0714285714285714,0.0206799926233563,0.00993441923680749,0.0306144118601638,1.11537686707203
"328",0.03,0.64,0.107142857142857,4.40369513351673e-05,0.000278098521297042,0.00032213547263221,0.972819090503816
"329",0.04,0.64,0.142857142857143,0.000648654642359772,0.00596121653019333,0.0066098711725531,1.00496057329755
"330",0.05,0.64,0.178571428571429,0.00701200919197704,0.0042029819426442,0.0112149911346212,0.988956379830225
"331",0.06,0.64,0.214285714285714,0.00221662224375876,0.00197332481769524,0.004189947061454,0.964622120985137
"332",0.07,0.64,0.25,0.0106631654271968,0.00419513377777506,0.0148582992049719,1.04530372790671
