"","mu","p","theta","KLD","Population_Variance"
"2100",0.215,0.72,0.488636363636364,-0.0592078090109975,1.48729603050041
"2101",0.22,0.72,0.5,-0.0944439120688914,1.56835358686152
"2102",0.225,0.72,0.511363636363636,-0.130114783093478,1.63058915454815
"2103",0.23,0.72,0.522727272727273,-0.182638258643077,1.7197594960138
"2104",0.235,0.72,0.534090909090909,-0.247371682954861,1.82921552229909
"2105",0.24,0.72,0.545454545454546,-0.313055094953764,1.91951887366897
"2106",0.245,0.72,0.556818181818182,-0.392706322065646,2.02845156832684
"2107",0.25,0.72,0.568181818181818,-0.498725451462978,2.15841279196876
"2108",0.01,0.725,0.0222222222222222,-0.189187861098674,0.503469766787155
"2109",0.015,0.725,0.0333333333333333,-0.19053185533017,0.501605629539173
"2110",0.02,0.725,0.0444444444444445,-0.186645250388103,0.505026147288682
"2111",0.025,0.725,0.0555555555555556,-0.180321957666577,0.51073334895765
"2112",0.03,0.725,0.0666666666666667,-0.179785097530088,0.510559314635734
"2113",0.035,0.725,0.0777777777777778,-0.17483192405078,0.514587671707729
"2114",0.04,0.725,0.0888888888888889,-0.168373455262452,0.519509268858358
"2115",0.045,0.725,0.1,-0.159273180455024,0.528380232652112
"2116",0.05,0.725,0.111111111111111,-0.154278823742743,0.531589339856668
"2117",0.055,0.725,0.122222222222222,-0.147186463158701,0.538800883341745
"2118",0.06,0.725,0.133333333333333,-0.137764386034581,0.547428912836579
"2119",0.065,0.725,0.144444444444444,-0.130518916063043,0.553511106274998
"2120",0.07,0.725,0.155555555555556,-0.121323559473877,0.56345228306152
"2121",0.075,0.725,0.166666666666667,-0.112004884681252,0.571885483980261
"2122",0.08,0.725,0.177777777777778,-0.106733666221407,0.577359462161455
"2123",0.085,0.725,0.188888888888889,-0.0903215030211322,0.596895938468838
"2124",0.09,0.725,0.2,-0.0820970054145331,0.604294499015951
"2125",0.095,0.725,0.211111111111111,-0.0640673712179591,0.629820176891475
"2126",0.1,0.725,0.222222222222222,-0.0593636694976316,0.633045494234508
"2127",0.105,0.725,0.233333333333333,-0.0474112589185428,0.650416435365918
"2128",0.11,0.725,0.244444444444444,-0.0388430090671026,0.662889395096349
"2129",0.115,0.725,0.255555555555556,-0.0231270298008482,0.690426912203844
"2130",0.12,0.725,0.266666666666667,-0.0155509512399151,0.702222891712618
"2131",0.125,0.725,0.277777777777778,-0.00356724868673132,0.724153068090568
"2132",0.13,0.725,0.288888888888889,0.00297981140711736,0.734820591561584
"2133",0.135,0.725,0.3,0.0150433507382362,0.762365455900762
"2134",0.14,0.725,0.311111111111111,0.0227236256629799,0.781243672696983
"2135",0.145,0.725,0.322222222222222,0.036004547527209,0.818738209303976
"2136",0.15,0.725,0.333333333333333,0.0392264077801866,0.839038300408069
"2137",0.155,0.725,0.344444444444444,0.0478352580928718,0.877343943440374
