"","Var1","Var2","theta","KLD"
"227",0.02,0.6,0.1,0.00769106584531996
"228",0.03,0.6,0.15,0.00461041824038639
"229",0.04,0.6,0.2,0.0068689761601101
"230",0.05,0.6,0.25,0.0123435734827525
"231",0.06,0.6,0.3,0.0038566530910884
"232",0.07,0.6,0.35,0.00400672865831376
"233",0.08,0.6,0.4,0.0175811548082199
"234",0.09,0.6,0.45,0.0155454559617242
"235",0.1,0.6,0.5,0.00944254180769855
"236",0.11,0.6,0.55,0.0220655762422645
"237",0.12,0.6,0.6,0.05952951394744
"238",0.13,0.6,0.65,0.0426799590593251
"239",0.14,0.6,0.7,0.0536878661700608
"240",0.15,0.6,0.75,0.105325595319346
"241",0.16,0.6,0.8,0.0864350131492869
"242",0.17,0.6,0.85,0.140679497623485
"243",0.18,0.6,0.9,0.21706274868785
"244",0.19,0.6,0.95,0.178096526046458
"245",0.2,0.6,1,0.225603044046523
"246",0.21,0.6,1.05,0.242553460254253
"247",0.22,0.6,1.1,0.298511600476932
"248",0.23,0.6,1.15,0.400396163041254
"249",0.24,0.6,1.2,0.312076843789175
"250",0.25,0.6,1.25,0.410709382472009
"251",0.01,0.61,0.0454545454545455,0.0178658164011421
"252",0.02,0.61,0.0909090909090909,0.00203011944970097
"253",0.03,0.61,0.136363636363636,0.00330662874393224
"254",0.04,0.61,0.181818181818182,0.0145765185638204
"255",0.05,0.61,0.227272727272727,0.00121163296704421
"256",0.06,0.61,0.272727272727273,0.0201815324250659
"257",0.07,0.61,0.318181818181818,0.0268785600093452
"258",0.08,0.61,0.363636363636364,0.0167458578990331
"259",0.09,0.61,0.409090909090909,0.0306533838959376
"260",0.1,0.61,0.454545454545455,0.00801385009762669
"261",0.11,0.61,0.5,0.0220974487295931
"262",0.12,0.61,0.545454545454546,0.0858157757753887
"263",0.13,0.61,0.590909090909091,0.11305176736042
"264",0.14,0.61,0.636363636363636,0.0695867263276503
"265",0.15,0.61,0.681818181818182,0.0937551253141731
"266",0.16,0.61,0.727272727272727,0.0756954695328068
"267",0.17,0.61,0.772727272727273,0.0918028186650231
"268",0.18,0.61,0.818181818181818,0.112228129201202
"269",0.19,0.61,0.863636363636364,0.116228619901454
"270",0.2,0.61,0.909090909090909,0.185359095980714
"271",0.21,0.61,0.954545454545455,0.156873663698911
"272",0.22,0.61,1,0.154256868932346
"273",0.23,0.61,1.04545454545455,0.234677235714152
"274",0.24,0.61,1.09090909090909,0.246386118807478
"275",0.25,0.61,1.13636363636364,0.312190569402354
"276",0.01,0.62,0.0416666666666667,0.000765869061607165
"277",0.02,0.62,0.0833333333333333,0.00125870681256441
"278",0.03,0.62,0.125,0.0109154269267922
"279",0.04,0.62,0.166666666666667,0.00475968146101534
"280",0.05,0.62,0.208333333333333,-0.000346376550064622
"281",0.06,0.62,0.25,0.00719967806019209
"282",0.07,0.62,0.291666666666667,0.000917758672399627
"283",0.08,0.62,0.333333333333333,0.013109361553307
"284",0.09,0.62,0.375,4.91459103619629e-07
"285",0.1,0.62,0.416666666666667,0.0138192146259127
"286",0.11,0.62,0.458333333333333,0.0194257224053145
"287",0.12,0.62,0.5,0.0359332442841499
"288",0.13,0.62,0.541666666666667,0.0435307796390676
"289",0.14,0.62,0.583333333333333,0.0615336035053667
"290",0.15,0.62,0.625,0.0291137086966084
"291",0.16,0.62,0.666666666666667,0.0874410745070862
"292",0.17,0.62,0.708333333333333,0.0735435630255101
"293",0.18,0.62,0.75,0.115780667135694
"294",0.19,0.62,0.791666666666667,0.0994289928431742
